O*NET-SOC Code,Title,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,alpha_new,beta_new,gamma_new,dv_rating_new,time_based_score
11-1011.00,Chief Executives,0.1,0.46,0.8200000000000001,0.18,0.35,0.52,0.2790697674418604,0.4302325581395348,0.5813953488372093,0.4302325581395348,
11-1011.03,Chief Sustainability Officers,0.1666666666666666,0.5555555555555556,0.9444444444444444,0.0555555555555555,0.3888888888888888,0.7222222222222222,0.6666666666666666,0.8055555555555556,0.9444444444444444,0.8055555555555556,0.5506226298378181
11-1021.00,General and Operations Managers,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,0.2,0.56,0.92,0.56,
11-1031.00,Legislators,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,0.3666666666666666,0.3666666666666666,0.3666666666666666,0.3666666666666666,
11-2011.00,Advertising and Promotions Managers,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,0.5526315789473685,0.6052631578947368,0.6578947368421053,0.6052631578947368,
11-2021.00,Marketing Managers,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,0.6428571428571429,0.6785714285714286,0.7142857142857143,0.6785714285714286,
11-2022.00,Sales Managers,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,0.3809523809523809,0.5952380952380952,0.8095238095238095,0.5952380952380952,0.5079577000475907
11-2032.00,Public Relations Managers,0.15,0.55,0.95,0.25,0.5750000000000001,0.9,0.65,0.75,0.85,0.75,
11-2033.00,Fundraising Managers,0.125,0.5625,1.0,0.25,0.5,0.75,0.6875,0.78125,0.875,0.78125,
11-3012.00,Administrative Services Managers,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086,0.4761904761904761,0.5714285714285714,0.6666666666666666,0.5714285714285714,
11-3013.00,Facilities Managers,0.0,0.3181818181818182,0.6363636363636364,0.0909090909090909,0.2727272727272727,0.4545454545454546,0.1818181818181818,0.3181818181818182,0.4545454545454545,0.3181818181818182,
11-3013.01,Security Managers,0.0714285714285714,0.4821428571428571,0.8928571428571428,0.25,0.5357142857142857,0.8214285714285714,0.4642857142857143,0.6071428571428571,0.75,0.6071428571428571,0.6204778355261946
11-3021.00,Computer and Information Systems Managers,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,0.3888888888888889,0.6388888888888888,0.8888888888888888,0.6388888888888888,
11-3031.00,Financial Managers,0.0,0.4814814814814814,0.9629629629629628,0.037037037037037,0.4259259259259259,0.8148148148148148,0.1944444444444444,0.4583333333333333,0.7222222222222222,0.4583333333333333,
11-3031.01,Treasurers and Controllers,0.0,0.4736842105263157,0.9473684210526316,0.1578947368421052,0.4078947368421052,0.6578947368421052,0.2857142857142857,0.5357142857142857,0.7857142857142857,0.5357142857142857,0.4147900927693676
11-3031.03,Investment Fund Managers,0.0,0.5,1.0,0.1714285714285714,0.5285714285714286,0.8857142857142857,0.44,0.68,0.92,0.68,
11-3051.00,Industrial Production Managers,0.0606060606060606,0.4848484848484848,0.9090909090909092,0.1515151515151515,0.3484848484848485,0.5454545454545454,0.1363636363636363,0.4772727272727273,0.8181818181818182,0.4772727272727273,
11-3051.01,Quality Control Systems Managers,0.0754716981132075,0.5094339622641509,0.9433962264150944,0.1886792452830188,0.4716981132075472,0.7547169811320754,0.6071428571428571,0.6964285714285714,0.7857142857142857,0.6964285714285714,
11-3051.02,Geothermal Production Managers,0.2,0.4833333333333333,0.7666666666666666,0.1333333333333333,0.3833333333333333,0.6333333333333333,0.1428571428571428,0.3809523809523809,0.6190476190476191,0.3809523809523809,0.2788092044108454
11-3051.03,Biofuels Production Managers,0.0,0.2857142857142857,0.5714285714285714,0.0714285714285714,0.1785714285714285,0.2857142857142857,0.0714285714285714,0.2142857142857142,0.3571428571428571,0.2142857142857142,0.16047658289656608
11-3051.04,Biomass Power Plant Managers,0.03125,0.328125,0.625,0.125,0.28125,0.4375,0.16,0.32,0.48,0.32,0.3236138415481488
11-3051.06,Hydroelectric Production Managers,0.0571428571428571,0.3428571428571428,0.6285714285714286,0.1142857142857142,0.3142857142857143,0.5142857142857142,0.2727272727272727,0.4090909090909091,0.5454545454545454,0.4090909090909091,
11-3061.00,Purchasing Managers,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,0.3684210526315789,0.631578947368421,0.8947368421052632,0.631578947368421,0.5639428611217525
11-3071.00,"Transportation, Storage, and Distribution Managers",0.0357142857142857,0.4821428571428571,0.9285714285714284,0.1785714285714285,0.4732142857142857,0.7678571428571428,0.2666666666666666,0.5666666666666667,0.8666666666666667,0.5666666666666667,
11-3071.04,Supply Chain Managers,0.0,0.4909090909090909,0.9818181818181818,0.1454545454545454,0.4727272727272727,0.7999999999999999,0.2857142857142857,0.6,0.9142857142857144,0.6,0.5898311760675867
11-3111.00,Compensation and Benefits Managers,0.131578947368421,0.513157894736842,0.894736842105263,0.1842105263157894,0.4605263157894737,0.7368421052631579,0.2941176470588235,0.5147058823529411,0.7352941176470589,0.5147058823529411,
11-3121.00,Human Resources Managers,0.04,0.48,0.92,0.14,0.45,0.76,0.2857142857142857,0.5357142857142857,0.7857142857142857,0.5357142857142857,0.41426355297810463
11-3131.00,Training and Development Managers,0.0909090909090909,0.5,0.9090909090909092,0.0454545454545454,0.4772727272727273,0.9090909090909092,0.6428571428571429,0.6785714285714286,0.7142857142857143,0.6785714285714286,0.5516316600134854
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",0.0408163265306122,0.3673469387755101,0.6938775510204082,0.1020408163265306,0.2448979591836734,0.3877551020408163,0.3548387096774194,0.3870967741935484,0.4193548387096774,0.3870967741935484,
11-9021.00,Construction Managers,0.0444444444444444,0.4444444444444445,0.8444444444444444,0.2,0.4,0.6,0.4666666666666667,0.6,0.7333333333333333,0.6,0.426505157616084
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",0.0625,0.46875,0.875,0.28125,0.515625,0.75,0.4736842105263157,0.5526315789473685,0.631578947368421,0.5526315789473685,0.2992389179430063
11-9032.00,"Education Administrators, Kindergarten through Secondary",0.0181818181818181,0.4181818181818181,0.8181818181818181,0.2727272727272727,0.4545454545454545,0.6363636363636364,0.2682926829268293,0.4268292682926829,0.5853658536585366,0.4268292682926829,
11-9033.00,"Education Administrators, Postsecondary",0.024390243902439,0.4390243902439024,0.8536585365853658,0.3414634146341463,0.475609756097561,0.6097560975609756,0.3043478260869565,0.4565217391304347,0.6086956521739131,0.4565217391304347,
11-9041.00,Architectural and Engineering Managers,0.0,0.4714285714285714,0.9428571428571428,0.1142857142857142,0.3857142857142857,0.6571428571428571,0.3928571428571428,0.5178571428571429,0.6428571428571429,0.5178571428571429,
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.1034482758620689,0.4137931034482758,0.7241379310344828,0.0,0.2758620689655172,0.5517241379310345,0.5357142857142857,0.5714285714285714,0.6071428571428571,0.5714285714285714,
11-9051.00,Food Service Managers,0.0625,0.4166666666666666,0.7708333333333333,0.1875,0.3958333333333333,0.6041666666666666,0.25,0.4305555555555556,0.6111111111111112,0.4305555555555556,
11-9071.00,Gambling Managers,0.3235294117647059,0.5735294117647058,0.8235294117647058,0.2647058823529412,0.4852941176470588,0.7058823529411764,0.1739130434782608,0.391304347826087,0.6086956521739131,0.391304347826087,
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",0.1764705882352941,0.3529411764705882,0.5294117647058824,0.2352941176470588,0.3823529411764705,0.5294117647058824,0.1176470588235294,0.2352941176470588,0.3529411764705882,0.2352941176470588,
11-9081.00,Lodging Managers,0.0434782608695652,0.4565217391304347,0.8695652173913043,0.2608695652173913,0.3804347826086956,0.5,0.2307692307692307,0.4038461538461538,0.5769230769230769,0.4038461538461538,0.38816584511270746
11-9111.00,Medical and Health Services Managers,0.0,0.4285714285714285,0.8571428571428571,0.1142857142857142,0.3714285714285714,0.6285714285714286,0.2105263157894736,0.4210526315789473,0.631578947368421,0.4210526315789473,0.4328062368948811
11-9121.00,Natural Sciences Managers,0.1333333333333333,0.5666666666666667,1.0,0.3666666666666666,0.5666666666666667,0.7666666666666666,0.5555555555555556,0.5833333333333334,0.6111111111111112,0.5833333333333334,0.559042361957536
11-9121.01,Clinical Research Coordinators,0.1525423728813559,0.5254237288135593,0.8983050847457628,0.2203389830508474,0.4661016949152542,0.711864406779661,0.375,0.6,0.825,0.6,0.48561191209889865
11-9121.02,Water Resource Specialists,0.048780487804878,0.5,0.951219512195122,0.1463414634146341,0.4268292682926829,0.7073170731707318,0.5454545454545454,0.7045454545454546,0.8636363636363636,0.7045454545454546,0.7453436098443745
11-9131.00,Postmasters and Mail Superintendents,0.1428571428571428,0.5238095238095237,0.9047619047619048,0.238095238095238,0.4523809523809523,0.6666666666666666,0.1666666666666666,0.3611111111111111,0.5555555555555556,0.3611111111111111,
11-9141.00,"Property, Real Estate, and Community Association Managers",0.0,0.4431818181818182,0.8863636363636364,0.2045454545454545,0.4318181818181818,0.6590909090909091,0.2972972972972973,0.4594594594594595,0.6216216216216216,0.4594594594594595,0.3327586312162484
11-9151.00,Social and Community Service Managers,0.0714285714285714,0.3928571428571428,0.7142857142857142,0.25,0.4464285714285714,0.6428571428571428,0.45,0.55,0.65,0.55,
11-9161.00,Emergency Management Directors,0.0,0.4222222222222222,0.8444444444444444,0.4,0.6,0.8,0.5,0.5416666666666666,0.5833333333333334,0.5416666666666666,0.6914459645309293
11-9171.00,Funeral Home Managers,0.1428571428571428,0.4285714285714285,0.7142857142857142,0.2857142857142857,0.5357142857142857,0.7857142857142857,0.4583333333333333,0.5208333333333334,0.5833333333333334,0.5208333333333334,
11-9179.01,Fitness and Wellness Coordinators,0.0869565217391304,0.3804347826086956,0.6739130434782609,0.0869565217391304,0.2934782608695652,0.5,0.5384615384615384,0.5576923076923077,0.5769230769230769,0.5576923076923077,0.5596780884783736
11-9179.02,Spa Managers,0.238095238095238,0.5238095238095237,0.8095238095238095,0.1428571428571428,0.3571428571428571,0.5714285714285714,0.3809523809523809,0.5238095238095238,0.6666666666666666,0.5238095238095238,
11-9199.01,Regulatory Affairs Managers,0.1153846153846153,0.5576923076923077,1.0,0.1923076923076923,0.5384615384615385,0.8846153846153847,0.5862068965517241,0.7586206896551724,0.9310344827586208,0.7586206896551724,0.7808694860474741
11-9199.02,Compliance Managers,0.08,0.52,0.96,0.34,0.54,0.74,0.6,0.7125,0.825,0.7125,
11-9199.08,Loss Prevention Managers,0.0566037735849056,0.4339622641509433,0.8113207547169811,0.1132075471698113,0.3679245283018867,0.6226415094339622,0.1785714285714285,0.4285714285714285,0.6785714285714286,0.4285714285714285,0.48281475665070595
11-9199.09,Wind Energy Operations Managers,0.0625,0.4375,0.8125,0.1875,0.40625,0.625,0.25,0.53125,0.8125,0.53125,0.4137508397453619
11-9199.10,Wind Energy Development Managers,0.0666666666666666,0.5333333333333333,1.0,0.2666666666666666,0.5333333333333333,0.8,0.5333333333333333,0.7333333333333333,0.9333333333333332,0.7333333333333333,0.7250901690253643
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,0.0465116279069767,0.4651162790697674,0.8837209302325582,0.2093023255813953,0.4069767441860465,0.6046511627906976,0.3846153846153846,0.5769230769230769,0.7692307692307693,0.5769230769230769,0.6644199077025897
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",0.1739130434782608,0.5434782608695652,0.9130434782608696,0.3043478260869565,0.3695652173913043,0.4347826086956521,0.4736842105263157,0.631578947368421,0.7894736842105263,0.631578947368421,
13-1021.00,"Buyers and Purchasing Agents, Farm Products",0.0555555555555555,0.5277777777777778,1.0,0.0555555555555555,0.25,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.46702081650753274
